   1228887.06047273      ,   441033.061418256     
   1231018.20546299      ,   442783.995908587     
   1233149.43086199      ,   444533.817227928     
   1235280.77001924      ,   446282.553205546     
   1237412.22578971      ,   448030.287329264     
   1239543.84761537      ,   449776.963940532     
   1241675.60669760      ,   451522.527380802     
   1243807.46664438      ,   453267.061137906     
   1245939.47154000      ,   455010.537382557     
   1248071.64036505      ,   456752.956114761     
   1250203.94758193      ,   458494.345163797     
   1252336.40362172      ,   460234.648871113     
   1254469.04154120      ,   461973.895065982     
   1256601.86924178      ,   463712.139406952     
   1258734.83310371      ,   465449.354064747     
   1260867.96316252      ,   467185.483380813     
   1263001.28680940      ,   468920.583013713     
   1265134.82294756      ,   470654.652963441     
   1267268.53197429      ,   472387.693230002     
   1269402.41329813      ,   474119.703813393     
   1271536.53041910      ,   475850.656884329     
   1273670.81303668      ,   477580.608101376     
   1275805.29132329      ,   479309.501805973     
   1277939.97849137      ,   481037.365827382     
   1280074.89344268      ,   482764.200165635     
   1282210.04927121      ,   484490.032649996     
   1284345.40077066      ,   486214.891109725     
   1286480.97577329      ,   487938.636398460     
   1288616.80918650      ,   489661.379833298     
   1290752.85579224      ,   491383.149243514     
   1292889.12633846      ,   493103.888970550     
   1295025.65908809      ,   494823.599014415     
   1297162.39513138      ,   496542.279375119     
   1299299.37269997      ,   498259.930052642     
   1301436.66296334      ,   499976.578876264     
   1303574.18183558      ,   501692.253675274     
   1305711.92857121      ,   503406.954449659     
   1307849.97819295      ,   505120.597711597     
   1309988.30476933      ,   506833.211290365     
   1312126.87661923      ,   508544.850844509     
   1314265.68537254      ,   510255.460715475     
   1316404.82134415      ,   511965.068732543     
   1318544.26446108      ,   513673.674895722     
   1320683.93659124      ,   515381.279205000     
   1322823.88918272      ,   517087.909489653     
   478279.896768982      ,   1574295.79298078     
   476310.461585231      ,   1572336.36156272     
   474340.898190302      ,   1570375.78914439     
   472371.202025472      ,   1568414.13138435     
   470401.396297261      ,   1566451.33262402     
   468431.530185710      ,   1564487.39286343     
   466461.567410955      ,   1562522.36776111     
   464491.458806175      ,   1560556.28514635     
   462521.278211402      ,   1558589.06153131     
   460551.024246009      ,   1556620.72474528     
   458580.689779848      ,   1554651.35827607     
   456610.284943620      ,   1552680.87863587     
   454639.786809515      ,   1550709.36931250     
   452669.202523400      ,   1548736.77464740     
   450698.568445582      ,   1546763.06681131     
   448727.874892837      ,   1544788.35712132     
   446757.097102043      ,   1542812.58991889     
   444786.271413312      ,   1540835.73737473     
   442815.391168744      ,   1538857.88297667     
   440844.476776854      ,   1536878.99889544     
   438873.535361103      ,   1534899.02947249     
   436902.525656598      ,   1532918.08602492     
   434931.452027104      ,   1530936.14072345     
   432960.353636856      ,   1528953.13790953     
   430989.226788707      ,   1526969.13324172     
   429018.075855250      ,   1524984.09889073     
   427046.913357691      ,   1522998.09051512     
   425075.708886888      ,   1521011.10811489     
   423104.482938338      ,   1519023.12386076     
   421133.248130621      ,   1517034.19341129     
   419161.997924475      ,   1515044.23327864     
   417190.747609872      ,   1513053.27129210     
   415219.475156358      ,   1511061.39093948     
   413248.219759596      ,   1509068.53656224     
   411276.962085461      ,   1507074.76381893     
   409305.692877487      ,   1505080.01705099     
